Using torch device NVIDIA GeForce RTX 2080 Ti
tensor([0, 1, 2], device='cuda:0')
passed gpu check
Starting run:
5ef08ce8aa1c438cba50aa2d18731ce8
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(note='', n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, solution_length=(1, 2, 3, 4), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, cc_neurosym=False, sv_options=False, sv_options_net_fc=False, dim=64, num_attn_blocks=2, num_heads=4, symbolic_supervised=True, traj_updates=400000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='5ef08ce8aa1c438cba50aa2d18731ce8')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.13.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220831_163319-3su8s1el
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ruby-snow-333
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/3su8s1el
100000 examples
Net has 158214 parameters
train_loss=3.276876192268019e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.816963771620773e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.472029447461721e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.4947154798605755e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.06960604903772e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.55220453677829e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=9.198249106834311e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.0922920814365744e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=8.623358537657166e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=6.323796260948589e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.3222483091074322e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.473577399302878e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.473577399302878e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.473577399302878e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=9.198249106834311e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.1740151225943e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.874452845885722e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=8.623358537657166e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.748905691771444e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.748905691771444e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.1740151225943e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.024233984240011e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=8.048467968480022e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.748905691771444e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.024233984240011e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.2995622767085777e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.748905691771444e-12, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.024233984240011e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=9.198249106834311e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.7246717075314333e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.5991245534171554e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.7246717075314333e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.7246717075314333e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.473577399302878e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=3.4493434150628666e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.874452845885722e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.7246717075314333e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.024233984240011e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.748905691771444e-12, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.1497811383542889e-11, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
